name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags,address,phone
용산봉숭아,restaurant,용산구,37.559170830948865,127.00123256829593,1,3,3,2,3,no,yes,음식점>한식,서울특별시 용산구 한강로3가 40-128 1층,
미니마이즈 이태원점,cafe,용산구,37.47469329595476,127.09411722874603,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 용산구 이태원동 56-10 2층,
패션5,cafe,용산구,37.59302958770347,126.96735044155191,1,2,3,2,3,no,no,"카페,디저트>베이커리",서울특별시 용산구 한남동 729-74 SPC빌딩,
알페도,cafe,용산구,37.566659341405675,127.0994281167861,1,2,3,2,3,no,no,"카페,디저트>베이커리",서울특별시 용산구 이태원동 128-9 1층 4-5호,
베이커리무이,cafe,용산구,37.51236979324724,127.03703330532721,1,2,3,2,3,no,no,"카페,디저트>베이커리",서울특별시 용산구 원효로1가 28-1 1층,
테디뵈르하우스 용산점,cafe,용산구,37.503388529691904,126.94257824094828,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 용산구 한강로2가 49-1 1층,
테디뵈르하우스 더현대서울점,cafe,영등포구,37.52899071982359,127.09284523724655,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 영등포구 여의도동 22 지하1층,
맨홀커피웨스턴책방,cafe,영등포구,37.58928823151508,126.91880953157971,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 영등포구 당산동1가 238 맨홀커피 웨스턴 책방 1층,
스타벅스 여의도한강공원점,cafe,영등포구,37.40541457480961,126.91060973083279,1,2,3,2,3,no,no,"카페,디저트>카페",서울특별시 영등포구 여의도동 85-1 선착장 3층,
브릭샌드 여의도점,cafe,영등포구,37.483288572957115,126.91893401540848,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 영등포구 여의도동 23-2 원센티널 1층,
코끼리베이글 영등포,cafe,영등포구,37.43560113712038,127.04351009617635,1,2,3,2,3,no,no,"카페,디저트>베이글",서울특별시 영등포구 양평동3가 69 코끼리베이글,
워킹온더클라우드,restaurant,영등포구,37.48147366641808,127.01257276041576,1,3,3,2,3,no,yes,음식점>양식,서울특별시 영등포구 여의도동 60 한화생명빌딩 59층,
도깨비굴,restaurant,영등포구,37.51764930920736,127.06463145489835,1,3,3,2,3,no,yes,음식점>양식,서울특별시 영등포구 여의도동 36 지하1층 C-001호,
트라가 여의도점,restaurant,영등포구,37.4524809168625,126.95915398315479,1,3,3,2,3,no,yes,음식점>스페인음식,서울특별시 영등포구 여의도동 34-8 지하1층 비132호,
이탈리 더현대서울,restaurant,영등포구,37.456212199655006,127.05581341364015,1,3,3,2,3,no,yes,음식점>이탈리아음식,서울특별시 영등포구 여의도동 22 더현대서울 6층,
르포르테,restaurant,영등포구,37.55887274172034,126.92708779854716,1,3,3,2,3,no,yes,음식점>양식,서울특별시 영등포구 당산동6가 339-4 DN빌딩 12층,
베르데 문래,restaurant,영등포구,37.5654415263299,126.90607096588631,1,3,3,2,3,no,yes,음식점>브런치,서울특별시 영등포구 문래동2가 14-16 1층,
